no,name,address,openingHours,numberOfCourts,district,city,phone,newDistrict,placeId
120,Lotus - Badminton Center,NTĐ Bóng Chuyền Bộ Đội Biên Phòng (đường Cầu Diễn),08:00 - 21:30,,,Hà Nội,,,
121,CTA Phan Bá Vành,"Số 99, ngõ 2 Phan Bá Vành, Bắc Từ Liêm, Hà Nội",05:30 - 24:00,,Quận Bắc Từ Liêm,Hà Nội,,,ChIJK-ExKuZVNDERB2FeFZTaz6Q
122,"Us Badminton Trịnh Văn Bô (gần ĐH Công Nghiệp, đối diện sơn COVA)","Cụm Công nghiệp vừa và nhỏ Từ Liêm, Đ. CN 3, Minh Khai",00:00 - 24:00,,,Hà Nội,,,ChIJ-YYgufJVNDERGv4kokAAEW0
123,HH,"451 Ngõ 68 Phú Diễn, Quận Bắc Từ Liêm, Hà Nội",00:00 - 24:00,,Quận Bắc Từ Liêm,Hà Nội,,,ChIJ8WsdLgBVNDERHEGXN9lsjLc
124,Quân Lưu Cs2 - Phú Diễn,"Số 455, ngõ 68 Phú Diễn, Hà Nội",00:00 - 24:00,,,Hà Nội,,,ChIJfZWZRQBVNDERyy7_KSMBPTg
125,Phúc Long - 76 An Dương,"Cơ sở 1: (Sân 1-2) Số 9a Ngõ 76 Ngách 35 An Dương, Tây Hồ",05:00 - 24:00,,Quận Tây Hồ,Hà Nội,,,ChIJEWSRCMurNTERptOG5g30ToI
126,An Dương,"8 ngách 35 Ng. 76 An Dương, Yên Phụ, Tây Hồ, Hà Nội",00:00 - 24:00,,Quận Tây Hồ,Hà Nội,,,ChIJeV21uuGrNTER7cz_hq96mA0
127,THCS Phenikaa,"Tổ Dân Phố, 8 P. Tu Hoàng, Xuân Phương, Hà Nội, Việt Nam",06:00 - 22:30,,Quận Nam Từ Liêm,Hà Nội,,,
128,SHĐ Badminton Yên Bệ,"Ngõ 66 Đ. Yên Bệ, Kim Chung, Hoài Đức, Hà Nội",05:00 - 24:00,,Huyện Hoài Đức,Hà Nội,,,ChIJndyypYVVNDERhMgN-XxOsAA
129,Tiểu Vương Quốc,"Cuối ngách 94/89, phố Thượng Thanh, phường Việt Hưng",05:00 - 24:00,,Quận Long Biên,Hà Nội,,,ChIJPxty-7GpNTEReaFJjtYcFZw
